Year,India,Andaman and Nicobar,Andhra Pradesh,Assam,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Karnataka,Kerala,Lakshadweep,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,West Bengal,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Arunachal Pradesh,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Jharkhand,Madhya Pradesh,Puducherry,Uttar Pradesh,Uttarakhand
1946,1219.21,2684.57,922.62,2538.19,700.67,3079.78,819.58,576.67,854.19,1411.46,3234.98,1665.6,1287.64,2073.12,4521.41,3049.77,1977.5,1574.99,549.24,526.97,1504.52,1371.06,2965.09,1876,148.94,254.92,290.6,411.23,381.03,473.64,399.16,820.27,946.94,469.2,1727.7,1441.85,988,1471.73,2339.17,1071.74,1483.75,1171.4,2607.05,1025.97,1078.58
1947,1205.91,3356.68,948.94,2817.74,792.05,2694.35,771.97,611.33,914.64,1161.66,2805.41,1584,1267.09,2207.82,4881.27,3450.64,2196.26,1464.18,630.48,492.71,1491.06,980.25,3285.47,1838.43,174.34,333.9,445.52,566.04,529.91,596.1,535.98,1061.98,1180.54,629.73,2196.63,1243.58,1095.2,1490.14,2392.15,872.02,1267.93,1340.36,1877.91,1096.22,1144.18
1948,1177.7,3309.58,817.34,2924.17,819.79,2919.63,400.15,660.09,1120.61,1265.29,2876.75,1441.6,1239.21,2145.91,4938.31,2878.95,2308.64,1362.36,784.96,425.66,1471.89,953.25,2852.69,1819.08,217.28,480.42,655.39,859.9,815.99,865.74,847.12,1517.71,1590.52,944.7,2204.28,1321.15,1257.4,1384.54,1543.7,423.67,1382.31,1245.84,1860.76,1235.84,1227.5
1949,1192,3456.9,1030.29,2738.48,768.2,2080.61,719.66,601.17,854.84,1049.42,2737.89,1574.9,1257.92,2143.12,4958.94,3272.29,2124.94,1327.26,587.97,457.7,1436.14,968.57,3237.93,1874.9,166.12,286.83,372.74,477.16,448.64,512.29,464.02,888.12,1000,549.73,2055.95,1525.82,1047.7,1480.71,2231.36,854.92,1506.13,1218.65,1742.39,1171.48,1232.33
1950,1092.73,2433.56,800.49,2324.78,899.94,2853.13,783.97,763.72,1250.48,1195.74,2820.85,1680.2,1052.34,1837.91,3896.62,2731.82,1947.45,1208.31,910.63,547.81,1363.27,832.9,2562.56,1702.71,216.05,417.97,592.39,800.97,749.86,822.41,778.89,1534.66,1656.23,896.97,1981.8,1259.03,1503.6,1187.06,1781.58,828.32,1269.52,967.39,1715.17,1080.24,1369.48
1951,1046.61,3205.42,836.77,2753.71,608.02,2592.82,427.7,487.64,904.57,1137.62,2510.01,1613.7,1026.88,2271.81,4948.83,3354.79,2136.23,1463.04,542.68,309.34,1282.13,953.92,3166.86,1610.78,213.77,400.33,539.12,681,648.32,688.74,668.35,1033.01,1142.92,719.91,1773.34,1142.33,956.4,1343.59,1511.06,570.2,1204.6,929.16,1612.79,947.21,1028.74
1952,993.75,3058.77,715.71,2721.44,663.09,2496.7,574.42,525.67,820.01,961.77,1920.19,1159.7,913.51,2134.6,4984.51,3240.98,2031.61,1284.16,505.52,419.37,1358.85,789.31,3046.37,1744.86,156.79,292.31,388.77,473.61,447.72,512.07,466.02,844.32,953.98,545.82,1843.83,1270.26,897.4,1135.85,1549.91,630.98,1280.11,825.01,1369.56,971.86,1040.71
1953,1149.64,2960.33,942.35,2617.09,708.44,4000.29,782.76,595.19,1016.57,1466.69,2874.62,1580.9,1257.57,2076.43,4626.07,3055.49,2045.94,1291.22,695.19,398.54,1460.56,1070.38,2983.29,1808.16,207.48,383.89,547.8,667.75,631.9,685.36,647.57,1209.75,1303.8,759.81,1809.83,1325.74,1211.7,1378.28,2069.51,1036.84,1327.01,940.06,1914.8,981.64,1140.75
1954,1175.67,2831.91,929.62,2474.71,793.39,3225.45,972.63,647.23,1087.4,1298.4,2700.4,1511.7,1371.38,1887.64,4180.67,2695.32,1994.94,1345.01,764,513.12,1432.24,1084.9,2614.42,1678.77,202.1,368.75,526.25,662.39,623.76,695.71,638.66,1275.09,1396.03,763.57,1961.05,1198.96,1285.5,1381.73,2598.66,1173.38,1138.74,1130.61,1930.17,1008.77,1260.3
1955,1266.19,3319.34,1089.47,2561.78,964.66,3048.83,777.09,756.53,1096.84,1277.35,2613.08,1831.8,1485.11,2088.72,4367.99,3038.77,2029.08,1534.07,773.41,581.95,1459.66,1138.64,2792,1668.74,190.86,366,524.56,670.49,629.27,682.43,645.24,1243.73,1339.61,749.78,1984.35,1228.25,1350,1466.62,2686.29,692.73,1145.85,1354.66,1782.36,1234.8,1424.5
1956,1334.33,3151.47,1164.49,2524.16,840.46,3261.54,1113.47,674.74,1041.85,1366.23,2607.94,1406.3,1463.12,1981.56,4694.02,2842.46,1851.54,1874.9,715.82,647.27,1335.2,1103.55,2874.95,1966.95,219.21,461.8,681.34,815.37,781.71,794.16,809.14,1370.4,1422.93,931.08,1796.54,1412.97,1162.2,1592.89,2557.78,1252.4,1601.29,1282.03,1815.92,1216.59,1243.57
1957,1037.11,3110.43,858.78,2125.49,842.7,2829.81,595.82,690,1122.03,1217.9,2585.16,1532.8,1174.19,1678.08,3560.66,2146.47,1767.93,1177.62,719.37,434.31,1079.01,951.9,2056.26,1304.62,251.23,532.7,845.24,971.65,945.66,890.64,980.07,1409.12,1468.73,1036.99,1833.46,1021.43,1293.2,1307.31,1700,867.05,1024.14,962.32,1794.38,958.78,1213.39
